brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
48325.0,for_sale,335000.0,1.0,1.0,,1267699.0,Brooklyn,New York,11224.0,750.0,
15367.0,for_sale,179900.0,3.0,2.0,,250057.0,Atco,New Jersey,8004.0,,2019-10-15
89341.0,for_sale,395000.0,,,0.86,15955.0,East Sandwich,Massachusetts,2537.0,,2004-11-23
70056.0,for_sale,575000.0,2.0,2.0,,604236.0,Brooklyn,New York,11235.0,1100.0,
52929.0,for_sale,259900.0,3.0,2.0,0.02,782436.0,Philadelphia,Pennsylvania,19145.0,1048.0,2019-10-29
107813.0,for_sale,529000.0,2.0,1.0,,1267696.0,Brooklyn,New York,11224.0,1100.0,2010-02-09
32876.0,for_sale,119900.0,4.0,2.0,0.09,307945.0,Trenton,New Jersey,8618.0,2076.0,2012-04-17
106061.0,for_sale,865000.0,3.0,2.0,86.0,604222.0,Salem,New Jersey,8079.0,2105.0,1978-12-27
23592.0,for_sale,550000.0,2.0,1.0,,660662.0,New York City,New York,11226.0,765.0,
23592.0,for_sale,650000.0,,1.0,,1156557.0,New York City,New York,10065.0,600.0,2014-06-16
22611.0,for_sale,465000.0,2.0,3.0,0.72,387620.0,Arundel,Maine,4046.0,1498.0,
61760.0,for_sale,575000.0,3.0,2.0,0.23,775229.0,Port Jefferson,New York,11777.0,1800.0,2019-03-11
87940.0,for_sale,340000.0,8.0,3.0,0.07,271987.0,East Orange,New Jersey,7017.0,10998.0,
22760.0,for_sale,2100000.0,2.0,2.0,0.09,581532.0,Boston,Massachusetts,2127.0,1500.0,
53064.0,for_sale,525000.0,3.0,2.0,0.48,378450.0,Mashpee,Massachusetts,2649.0,1428.0,
50209.0,for_sale,394900.0,4.0,2.0,0.68,1379664.0,Hammonton,New Jersey,8037.0,,
102017.0,for_sale,1200000.0,5.0,4.0,1.8,1181969.0,Aguada,Puerto Rico,677.0,6000.0,
52270.0,for_sale,160000.0,4.0,3.0,0.09,1888313.0,Humacao,Puerto Rico,791.0,2050.0,
86501.0,for_sale,929900.0,4.0,2.0,0.1,1625925.0,Staten Island,New York,10305.0,1840.0,
77575.0,for_sale,400000.0,3.0,1.0,0.19,601322.0,Stony Point,New York,10980.0,1152.0,
30765.0,for_sale,409900.0,,,0.06,349570.0,Elizabeth City,New Jersey,7201.0,,
34543.0,for_sale,265000.0,,,3.09,1949364.0,Christiansted,Virgin Islands,820.0,,
78897.0,for_sale,3749000.0,4.0,5.0,0.11,198275.0,Surf City,New Jersey,8008.0,2875.0,2020-10-16
33714.0,for_sale,399000.0,3.0,2.0,0.23,1580168.0,Somerset,Massachusetts,2726.0,2288.0,
74782.0,for_sale,179900.0,2.0,2.0,,250156.0,Danbury,Connecticut,6810.0,1018.0,2020-02-12
22616.0,for_sale,849900.0,4.0,3.0,,696121.0,Andover,Massachusetts,1810.0,3453.0,
30807.0,for_sale,160000.0,3.0,2.0,0.23,1122039.0,Pemberton,New Jersey,8068.0,1050.0,2001-10-04
17920.0,for_sale,475000.0,6.0,,0.24,1034783.0,Glenolden,Pennsylvania,19036.0,3870.0,
4883.0,for_sale,325000.0,3.0,2.0,0.04,293321.0,Philadelphia,Pennsylvania,19122.0,1760.0,
43501.0,for_sale,349900.0,,,12.38,1974139.0,Lake View Plt,Maine,4463.0,,
72397.0,for_sale,1195000.0,6.0,4.0,0.24,913890.0,New Providence,New Jersey,7974.0,3162.0,1993-08-12
17541.0,for_sale,695000.0,2.0,3.0,,1447096.0,Princeton,New Jersey,8540.0,,
20475.0,for_sale,859000.0,8.0,4.0,0.17,763948.0,Boston,Massachusetts,2136.0,3204.0,2001-06-22
53365.0,for_sale,375000.0,5.0,3.0,0.09,475771.0,Ansonia,Connecticut,6401.0,2463.0,2016-05-19
84466.0,for_sale,995000.0,2.0,2.0,,270034.0,Somerville,Massachusetts,2145.0,2124.0,
93757.0,for_sale,509900.0,2.0,2.0,,1845783.0,Hallowell,Maine,4347.0,1360.0,
24217.0,for_sale,1495000.0,1.0,1.0,,619358.0,New York,New York,10002.0,773.0,
7804.0,for_sale,399900.0,2.0,2.0,0.86,885688.0,Milford,New Hampshire,3055.0,1249.0,
23798.0,for_sale,245900.0,3.0,3.0,0.05,645661.0,Middletown,Delaware,19709.0,1150.0,2006-05-22
84533.0,for_sale,649900.0,3.0,3.0,0.2,1428551.0,Wakefield,Massachusetts,1880.0,2112.0,2000-05-25
10619.0,for_sale,875000.0,2.0,4.0,,794398.0,Mashpee,Massachusetts,2649.0,1964.0,
8081.0,for_sale,155000.0,1.0,1.0,,37578.0,Philadelphia,Pennsylvania,19107.0,681.0,2017-03-31
33714.0,for_sale,340000.0,3.0,2.0,0.25,1335415.0,Stratford,Connecticut,6614.0,2004.0,
104530.0,for_sale,79000.0,,,10.5,1980204.0,Randolph,Vermont,5060.0,,
23631.0,for_sale,575000.0,,,130.68,1003914.0,Lebanon,New Hampshire,3766.0,,
